"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",45.34,56.5,36.28,38.72,"91,383,300","576,140,000","NEBL",-0.146007940008822
"2018-01-09",44.81,64.87,40.38,44.47,"222,014,000","569,252,000","NEBL",-0.00758759205534486
"2018-01-08",23.98,51.03,23.32,44.68,"310,931,000","304,548,000","NEBL",0.863219349457881
"2018-01-07",22.15,31.38,17.44,25.09,"103,923,000","281,265,000","NEBL",0.132731376975169
"2018-01-06",7.75,28.38,7.62,22.86,"72,246,800","98,452,400","NEBL",1.94967741935484
"2018-01-05",8.12,8.86,7.02,7.53,"3,280,040","103,083,000","NEBL",-0.0726600985221674
"2018-01-04",8.48,8.54,7.5,8.11,"2,888,930","107,629,000","NEBL",-0.0436320754716982
"2018-01-03",8.31,8.89,7.99,8.43,"2,770,880","105,450,000","NEBL",0.0144404332129963
"2018-01-02",9.05,9.72,7.98,8.31,"2,407,610","114,757,000","NEBL",-0.081767955801105
"2018-01-01",8.36,9.33,7.73,9.14,"2,443,900","105,982,000","NEBL",0.0933014354066987
"2017-12-31",7.35,8.58,7,8.35,"1,713,930","93,197,100","NEBL",0.136054421768707
"2017-12-30",8.44,8.58,6.77,7.44,"1,538,800","106,947,000","NEBL",-0.118483412322275
"2017-12-29",7.15,9.32,6.61,8.49,"3,289,740","90,638,300","NEBL",0.187412587412587
"2017-12-28",7.69,8.67,6.11,6.96,"1,511,940","97,398,700","NEBL",-0.0949284785435631
"2017-12-27",6.37,8.01,5.76,7.66,"2,012,800","80,631,600","NEBL",0.202511773940345
"2017-12-26",6.82,7.11,5.44,6.36,"1,692,320","86,433,200","NEBL",-0.0674486803519062
"2017-12-25",6.58,7.28,6.33,6.74,"1,261,440","83,281,100","NEBL",0.0243161094224924
"2017-12-24",7.63,7.63,6.13,6.54,"1,545,340","96,530,800","NEBL",-0.142857142857143
"2017-12-23",7.57,8.89,7.36,7.64,"3,941,520","95,809,600","NEBL",0.00924702774108314
"2017-12-22",4.83,9.92,3.9,7.51,"7,843,310","61,135,300","NEBL",0.554865424430642
"2017-12-21",4.54,5.26,4.2,4.82,"600,706","57,388,900","NEBL",0.0616740088105727
"2017-12-20",4.37,4.58,3.78,4.52,"605,108","55,252,700","NEBL",0.0343249427917619
"2017-12-19",4.85,5.03,4.07,4.38,"623,820","61,355,100","NEBL",-0.0969072164948453
"2017-12-18",4.1,4.83,3.86,4.8,"504,052","51,871,200","NEBL",0.170731707317073
"2017-12-17",4.21,4.34,3.9,4.09,"452,794","53,220,700","NEBL",-0.0285035629453682
"2017-12-16",3.93,4.38,3.68,4.28,"433,080","49,634,500","NEBL",0.089058524173028
"2017-12-15",3.96,4.15,3.48,3.92,"335,296","50,007,200","NEBL",-0.0101010101010101
"2017-12-14",4.28,4.56,3.56,3.99,"356,777","54,091,900","NEBL",-0.0677570093457944
"2017-12-13",3.39,4.78,3.05,4.38,"594,952","42,771,100","NEBL",0.292035398230088
"2017-12-12",3.33,3.73,2.95,3.42,"346,566","41,997,500","NEBL",0.027027027027027
"2017-12-11",3.27,3.84,3.21,3.32,"291,876","41,275,400","NEBL",0.0152905198776758
"2017-12-10",3.63,3.73,3.08,3.29,"355,318","45,806,400","NEBL",-0.09366391184573
"2017-12-09",3.81,3.87,3.34,3.62,"345,927","48,129,000","NEBL",-0.0498687664041995
"2017-12-08",4.1,4.23,3.14,3.78,"580,263","51,707,400","NEBL",-0.0780487804878049
"2017-12-07",4.2,4.59,3.6,4.09,"616,727","52,998,500","NEBL",-0.0261904761904763
"2017-12-06",3.96,4.33,3.73,4.12,"616,653","49,977,200","NEBL",0.0404040404040404
"2017-12-05",3.66,4.24,3.39,4.07,"518,455","46,083,400","NEBL",0.112021857923497
"2017-12-04",2.9,3.91,2.86,3.65,"672,699","36,511,000","NEBL",0.258620689655172
"2017-12-03",2.64,3.07,2.62,2.9,"288,911","33,216,800","NEBL",0.0984848484848484
"2017-12-02",2.95,2.97,2.64,2.67,"284,357","37,111,500","NEBL",-0.0949152542372882
"2017-12-01",2.92,3.07,2.56,2.95,"346,399","36,755,500","NEBL",0.0102739726027398
"2017-11-30",2.71,3.05,2.42,2.93,"219,988","34,095,400","NEBL",0.0811808118081182
"2017-11-29",3.03,3.2,2.51,2.67,"307,601","38,080,600","NEBL",-0.118811881188119
"2017-11-28",3.06,3.39,2.93,2.98,"342,147","38,488,100","NEBL",-0.0261437908496732
"2017-11-27",3.2,3.31,2.93,3.05,"286,401","40,217,200","NEBL",-0.0468750000000001
"2017-11-26",3.22,3.39,2.92,3.2,"277,734","40,548,900","NEBL",-0.00621118012422361
"2017-11-25",3.44,3.6,3.06,3.22,"325,835","43,211,200","NEBL",-0.063953488372093
"2017-11-24",2.74,3.66,2.68,3.49,"308,611","34,478,200","NEBL",0.273722627737226
"2017-11-23",2.92,3.12,2.47,2.73,"416,008","36,719,500","NEBL",-0.0650684931506849
"2017-11-22",3,3.08,2.72,2.92,"300,506","37,659,600","NEBL",-0.0266666666666667
"2017-11-21",3.05,3.21,2.89,3.03,"266,378","38,329,600","NEBL",-0.00655737704918033
"2017-11-20",3.17,3.54,2.96,3.06,"261,967","39,768,500","NEBL",-0.0347003154574132
"2017-11-19",3.39,3.39,2.68,3.17,"471,144","42,548,800","NEBL",-0.0648967551622419
"2017-11-18",3.35,3.52,3.13,3.37,"296,049","42,099,100","NEBL",0.00597014925373135
"2017-11-17",4.23,4.23,3.26,3.37,"463,203","53,156,000","NEBL",-0.203309692671395
"2017-11-16",3.54,4.6,3.41,3.99,"684,305","44,368,000","NEBL",0.127118644067797
"2017-11-15",3.62,3.72,3.29,3.52,"393,762","45,390,000","NEBL",-0.0276243093922652
"2017-11-14",3.84,3.94,2.91,3.62,"368,012","48,177,500","NEBL",-0.0572916666666666
"2017-11-13",3.57,4.15,3.5,3.83,"283,372","44,757,200","NEBL",0.0728291316526611
"2017-11-12",3.88,4.07,3.31,3.56,"300,980","48,605,400","NEBL",-0.0824742268041237
"2017-11-11",4.06,4.4,3.79,3.88,"470,746","50,957,600","NEBL",-0.0443349753694581
"2017-11-10",4.93,4.98,3.87,4,"400,021","61,822,100","NEBL",-0.188640973630832
"2017-11-09",4.64,5.3,4.33,4.92,"652,781","58,104,500","NEBL",0.060344827586207
"2017-11-08",3.94,5.18,3.93,4.64,"489,596","49,416,000","NEBL",0.177664974619289
"2017-11-07",3.79,4.03,3.62,3.96,"180,467","47,480,200","NEBL",0.0448548812664907
"2017-11-06",3.83,3.97,3.29,3.8,"290,900","48,016,100","NEBL",-0.00783289817232382
"2017-11-05",3.69,4.2,3.69,3.79,"245,500","46,186,500","NEBL",0.0271002710027101
"2017-11-04",3.97,5.35,3.7,3.7,"209,124","49,721,800","NEBL",-0.0680100755667506
"2017-11-03",4.03,4.23,3.5,4.04,"228,962","50,370,100","NEBL",0.00248138957816372
"2017-11-02",4.2,4.26,2.77,4.04,"745,693","52,542,100","NEBL",-0.0380952380952381
"2017-11-01",4.83,5.1,4.09,4.2,"404,690","60,363,000","NEBL",-0.130434782608696
"2017-10-31",4.47,5.1,4.13,4.83,"447,235","55,867,700","NEBL",0.0805369127516779
"2017-10-30",4.7,4.96,3.5,4.48,"698,406","58,720,400","NEBL",-0.0468085106382978
"2017-10-29",4.97,5.23,4.57,4.73,"270,925","62,173,100","NEBL",-0.0482897384305834
"2017-10-28",5.31,5.39,4.56,4.98,"347,010","66,331,900","NEBL",-0.0621468926553671
"2017-10-27",5.78,5.91,5.15,5.2,"387,179","72,277,900","NEBL",-0.100346020761246
"2017-10-26",5.14,5.99,4.92,5.78,"459,691","64,208,800","NEBL",0.124513618677043
"2017-10-25",5.19,5.36,4.54,5.14,"447,547","64,882,600","NEBL",-0.00963391136801555
"2017-10-24",5.19,5.88,4.91,5.19,"900,605","64,805,700","NEBL",0
"2017-10-23",4.42,5.21,4.1,5.2,"499,088","55,222,700","NEBL",0.176470588235294
"2017-10-22",3.77,4.45,3.63,4.4,"318,137","47,092,700","NEBL",0.16710875331565
"2017-10-21",4.25,4.28,3.64,3.74,"316,624","52,992,000","NEBL",-0.12
"2017-10-20",4.22,4.54,3.96,4.26,"476,738","52,651,700","NEBL",0.009478672985782
"2017-10-19",4.53,4.55,3.84,4.12,"472,055","56,504,000","NEBL",-0.0905077262693157
"2017-10-18",3.42,4.69,3.21,4.53,"1,980,250","42,702,900","NEBL",0.324561403508772
"2017-10-17",2.9,3.74,2.78,3.58,"889,541","36,111,100","NEBL",0.23448275862069
"2017-10-16",2.43,3.09,2.15,2.89,"383,784","30,320,100","NEBL",0.189300411522634
"2017-10-15",2.5,2.5,1.93,2.43,"193,211","31,189,100","NEBL",-0.0279999999999999
"2017-10-14",1.97,2.56,1.95,2.5,"208,909","24,593,200","NEBL",0.269035532994924
"2017-10-13",1.81,2.26,1.77,2.04,"151,895","22,573,600","NEBL",0.12707182320442
"2017-10-12",1.7,1.93,1.64,1.81,"76,484","21,179,200","NEBL",0.0647058823529412
"2017-10-11",1.77,2.3,1.64,1.7,"157,037","22,068,400","NEBL",-0.0395480225988701
"2017-10-10",1.73,1.85,1.52,1.77,"129,318","21,549,900","NEBL",0.023121387283237
"2017-10-09",1.94,2.11,1.44,1.84,"209,820","24,185,100","NEBL",-0.0515463917525773
"2017-10-08",2.09,2.44,1.76,1.94,"265,192","25,952,800","NEBL",-0.0717703349282296
"2017-10-07",2.52,2.52,1.84,2.09,"200,175","31,339,200","NEBL",-0.170634920634921
"2017-10-06",2.37,2.99,2.18,2.45,"589,588","29,478,900","NEBL",0.0337552742616034
"2017-10-05",1.99,2.39,1.75,2.33,"320,554","24,683,700","NEBL",0.170854271356784
"2017-10-04",1.53,2.49,1.33,1.94,"389,876","18,995,500","NEBL",0.26797385620915
"2017-10-03",1.1,1.6,1.1,1.56,"241,967","13,686,100","NEBL",0.418181818181818
"2017-10-02",1.08,1.13,0.989687,1.1,"146,971","13,364,300","NEBL",0.0185185185185185
"2017-10-01",0.98337,1.15,0.907513,1.09,"143,693","12,214,600","NEBL",0.108433244862056
"2017-09-30",0.956077,1.07,0.938594,0.982839,"70,904","11,873,000","NEBL",0.0279914693063426
